ARG, 44.44, 41.67, 33.33, Aldosivi, 0, 8.33, 5.56, 
ARG, 38.89, 50, 50, All Boys, 33.33, 33.33, 27.78, 
ARG, 27.78, 25, 33.33, Argentinos Jrs, 50, 41.67, 33.33, 
ARG, 33.33, 33.33, 33.33, Arsenal Sarandi, 50, 41.67, 55.56, 
ARG, 38.89, 41.67, 50, Atl. Rafaela, 16.67, 25, 38.89, 
ARG, 44.44, 50, 16.67, Atl. Tucuman, 50, 50, 55.56, 
ARG, 22.22, 16.67, 33.33, Banfield, 50, 41.67, 33.33, 
ARG, 44.44, 33.33, 33.33, Belgrano, 16.67, 25, 27.78, 
ARG, 50, 41.67, 50, Boca Juniors, 33.33, 41.67, 38.89, 
ARG, 1000, 1000, 1000, Central Cordoba, 1000, 1000, 1000, 
ARG, 1000, 41.67, 50, Chacarita Juniors, 50, 41.67, 1000, 
